qseqid sseqid pident length mismatch gapopen qstart qend sstart send evalue bitscore
g31.t1	LipaseVII	100.000	1464	0	0	1	1464	1	1464	0.0	2704
g31.t1	LipaseII	76.453	1308	282	22	16	1310	1455	161	0.0	686
g31.t1	LipaseIII	75.510	1176	262	23	16	1178	1455	293	8.87e-160	553
g31.t1	LipaseV	74.885	434	105	4	196	627	441	10	6.19e-52	195
g31.t1	LIPVIIRR	100.000	83	0	0	243	325	1	83	1.05e-39	154
g31.t1	LIPVIIR	100.000	83	0	0	243	325	83	1	1.05e-39	154
g31.t1	LIPVIIF	100.000	78	0	0	299	376	1	78	6.33e-37	145
g31.t1	LipaseVIII	71.663	487	129	8	177	659	1278	797	2.29e-31	126
g31.t1	LIPVIIFR	100.000	50	0	0	327	376	50	1	2.32e-21	93.5
g31.t1	LIPIIIRR	86.154	65	9	0	1114	1178	88	24	1.09e-14	71.3
g31.t1	LIPIIIR	88.136	59	7	0	1114	1172	3	61	1.09e-14	71.3
g110.t1	PMA1	83.582	67	9	2	1939	2004	873	808	1.24e-11	62.1
g133.t1	LipaseVIII	100.000	1449	0	0	1	1449	1449	1	0.0	2676
g133.t1	LipaseV	79.317	556	113	2	72	626	559	5	2.62e-110	388
g133.t1	LipaseII	72.881	472	112	14	191	654	1274	811	4.84e-38	148
g133.t1	LipaseIV	71.181	635	167	14	671	1300	785	162	6.26e-37	145
g133.t1	LIPVIIIRR	100.000	68	0	0	568	635	68	1	2.27e-31	126
g133.t1	LIPVIIIR	100.000	68	0	0	568	635	1	68	2.27e-31	126
g133.t1	LipaseVII	71.726	481	127	8	172	647	177	653	2.27e-31	126
g133.t1	LIPVIIIFR	100.000	48	0	0	495	542	1	48	2.98e-20	89.8
g133.t1	LIPVIIIF	100.000	48	0	0	495	542	48	1	2.98e-20	89.8
g367.t1	ACT1	100.000	1080	0	0	349	1428	1	1080	0.0	1995
g367.t1	ACTFR	100.000	71	0	0	1180	1250	71	1	4.81e-33	132
g367.t1	ACTF	100.000	71	0	0	1180	1250	1	71	4.81e-33	132
g367.t1	ACTRR	100.000	64	0	0	1129	1192	1	64	3.75e-29	119
g367.t1	ACTR	100.000	64	0	0	1129	1192	64	1	3.75e-29	119
g1115.t1	LipaseIII	100.000	1470	0	0	1	1470	1470	1	0.0	2715
g1115.t1	LipaseII	77.411	1483	303	29	1	1468	1470	5	0.0	854
g1115.t1	LipaseVII	75.576	1171	258	23	16	1172	16	1172	8.91e-160	553
g1115.t1	LIPIIIRR	100.000	90	0	0	1112	1201	90	1	1.36e-43	167
g1115.t1	LIPIIIR	100.000	90	0	0	1112	1201	1	90	1.36e-43	167
g1115.t1	LIPIIIFR	100.000	52	0	0	1073	1124	1	52	1.80e-22	97.1
g1115.t1	LIPIIIF	100.000	52	0	0	1073	1124	52	1	1.80e-22	97.1
g1115.t1	LipaseV	70.732	451	124	8	181	627	456	10	6.49e-22	95.3
g1147.t1	LipaseIV	100.000	789	0	0	574	1362	789	1	0.0	1458
g1147.t1	LipaseV	99.821	559	1	0	1	559	618	60	0.0	1027
g1147.t1	LipaseVIII	78.831	496	103	2	60	554	1378	884	1.17e-93	333
g1147.t1	LipaseVIII	71.181	635	167	14	578	1201	779	150	5.88e-37	145
g1147.t1	LipaseII	76.455	378	85	4	163	538	1290	915	3.44e-54	202
g1147.t1	LipaseVII	75.499	351	82	4	178	526	196	544	3.49e-44	169
g1147.t1	LIPVFR	100.000	49	0	0	456	504	1	49	7.77e-21	91.6
g1147.t1	LIPVF	100.000	49	0	0	456	504	49	1	7.77e-21	91.6
g1147.t1	LipaseIII	72.302	278	71	6	163	437	1290	1016	4.68e-18	82.4
g1147.t1	LIPVIIF	84.615	78	12	0	281	358	1	78	6.05e-17	78.7
g1147.t1	LIPVIIRR	82.432	74	13	0	234	307	10	83	4.71e-13	65.8
g1147.t1	LIPVIIR	82.432	74	13	0	234	307	74	1	4.71e-13	65.8
g1195.t1	PMA1	100.000	2700	0	0	1	2700	2700	1	0.0	4987
g1195.t1	PMAFR	100.000	71	0	0	110	180	1	71	9.10e-33	132
g1195.t1	PMAF	100.000	71	0	0	110	180	71	1	9.10e-33	132
g1195.t1	PMARR	100.000	62	0	0	197	258	62	1	9.17e-28	115
g1195.t1	PMAR	100.000	62	0	0	197	258	1	62	9.17e-28	115
g1354.t1	RPP2	82.707	133	14	4	186	318	124	1	4.86e-27	110
g1574.t1	LipaseVI	100.000	1461	0	0	1	1461	1461	1	0.0	2699
g2551.t1	LipaseII	100.000	1470	0	0	1	1470	1470	1	0.0	2715
g2551.t1	LipaseIII	77.395	1482	305	27	1	1466	1470	3	0.0	854
g2551.t1	LipaseVII	76.453	1308	282	23	16	1310	16	1310	0.0	686
g2551.t1	LipaseV	76.339	448	102	4	181	626	456	11	1.02e-64	237
g2551.t1	LipaseVIII	72.881	472	112	14	197	660	1259	796	4.92e-38	148
g2551.t1	LIPIIFR	100.000	68	0	0	1212	1279	1	68	2.31e-31	126
g2551.t1	LIPIIF	100.000	67	0	0	1213	1279	67	1	8.29e-31	124
g2551.t1	LIPIIRR	100.000	53	0	0	1280	1332	53	1	5.03e-23	99.0
g2551.t1	LIPIIR	100.000	53	0	0	1280	1332	1	53	5.03e-23	99.0
g2551.t1	LIPVIIF	89.706	68	7	0	301	368	3	70	1.09e-19	87.9
g2551.t1	LIPIIIRR	84.706	85	13	0	1112	1196	90	6	3.91e-19	86.1
g2551.t1	LIPIIIR	87.671	73	9	0	1112	1184	1	73	3.91e-19	86.1
g2551.t1	LIPVIIRR	85.000	80	12	0	244	323	2	81	5.06e-18	82.4
g2551.t1	LIPVIIR	87.324	71	9	0	253	323	73	3	5.06e-18	82.4
g2551.t1	LIPIIIFR	90.385	52	5	0	1073	1124	1	52	3.94e-14	69.4
